array_size,num_threads,bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
262144,12,65536,0.0061656451,0.0326110303,0.0086346186,0.0029538491,0.0442335166
1048576,1,16,0.0065052778,0.0504139070,0.0337090140,0.0037934036,0.0903149255
1048576,1,64,0.0062937508,0.0376421173,0.0496004536,0.0030425292,0.0908698776
1048576,1,256,0.0062913489,0.0329197023,0.0649922010,0.0028534674,0.1009840279
1048576,1,1024,0.0062947964,0.0309039882,0.0787689275,0.0027939986,0.1127901081
1048576,1,4096,0.0062848951,0.0280343250,0.0931857851,0.0027845469,0.1242829962
1048576,1,16384,0.0062775009,0.0269255965,0.1076821765,0.0027842559,0.1376628957
1048576,1,65536,0.0063017175,0.0250752416,0.1223241004,0.0027822739,0.1504646102
1048576,2,16,0.0031868729,0.0397577710,0.0169029870,0.0020909685,0.0609568948
1048576,2,64,0.0031648295,0.0405198212,0.0248866708,0.0015603138,0.0676899380
1048576,2,256,0.0031723163,0.0400608151,0.0325758314,0.0014361528,0.0743024497
1048576,2,1024,0.0032135000,0.0424440360,0.0395435480,0.0014037596,0.0837137748
1048576,2,4096,0.0031942927,0.0461333306,0.0466973769,0.0013989678,0.0943677943
1048576,2,16384,0.0031881444,0.0531009790,0.0539252876,0.0013995786,0.1085534587
1048576,2,65536,0.0031885130,0.0608996162,0.0613166125,0.0013994890,0.1239104149
1048576,4,16,0.0016691133,0.0504594392,0.0087478754,0.0013527195,0.0633903787
1048576,4,64,0.0016512791,0.0486659312,0.0125457476,0.0008569202,0.0632726482
1048576,4,256,0.0016648345,0.0476887918,0.0163098401,0.0007541412,0.0651418391
1048576,4,1024,0.0016561995,0.0507220986,0.0198806761,0.0007277275,0.0716898979
1048576,4,4096,0.0016646590,0.0643594053,0.0234199918,0.0007216009,0.0887131942
1048576,4,16384,0.0016507487,0.0839991786,0.0270714023,0.0007261754,0.1120135251
1048576,4,65536,0.0016471410,0.1042128328,0.0309372675,0.0007307552,0.1362239650
1048576,8,16,0.0009021454,0.0293856447,0.0044620360,0.0007718977,0.0371659082
1048576,8,64,0.0009610084,0.0322693173,0.0062609839,0.0004792993,0.0402448830
1048576,8,256,0.0008970818,0.0337889236,0.0082179346,0.0003906258,0.0428426406
1048576,8,1024,0.0008889126,0.0387825754,0.0099749785,0.0003700525,0.0494739408
1048576,8,4096,0.0008999036,0.0525103515,0.0118091081,0.0003669985,0.0649161083
1048576,8,16384,0.0008889637,0.0665518188,0.0136515037,0.0003711190,0.0808342281
1048576,8,65536,0.0008871885,0.0891545931,0.0156782603,0.0003748099,0.1055495318
1048576,12,16,0.0022802576,0.0251661776,0.0030009805,0.0007370157,0.0321720404
1048576,12,64,0.0030810107,0.0250381555,0.0042212975,0.0003384858,0.0309511163
1048576,12,256,0.0026662079,0.0267865608,0.0054541145,0.0002757335,0.0330181706
1048576,12,1024,0.0030353136,0.0307569311,0.0067371620,0.0002564978,0.0381539386
1048576,12,4096,0.0026885428,0.0423475083,0.0081248910,0.0002540525,0.0509936817
1048576,12,16384,0.0026807738,0.0574270850,0.0107530016,0.0002773575,0.0687497443
1048576,12,65536,0.0030060555,0.0810434202,0.0156084232,0.0003833012,0.0973117347
4194304,1,16,0.0267789660,0.4651180355,0.1348523531,0.0152312307,0.6310172352
4194304,1,64,0.0255453218,0.2340881789,0.1982576977,0.0121422622,0.4483865133
4194304,1,256,0.0255340545,0.1752105359,0.2603668851,0.0113919687,0.4483792746
4194304,1,1024,0.0255458303,0.1502561267,0.3158906594,0.0112067079,0.4787520261
4194304,1,4096,0.0255524397,0.1243454538,0.3731926007,0.0111398626,0.5098039652
4194304,1,16384,0.0255481011,0.1105393625,0.4309943913,0.0111302156,0.5537105801
4194304,1,65536,0.0255405973,0.1074855896,0.4900513142,0.0111470089,0.6097227977
4194304,2,16,0.0128616015,0.2314453341,0.0682193425,0.0089730008,0.3218233175
4194304,2,64,0.0128310974,0.1704490675,0.1000936654,0.0061526033,0.2806354556
4194304,2,256,0.0128204677,0.1678895903,0.1295872594,0.0057498187,0.3047027078
4194304,2,1024,0.0128276839,0.1724214068,0.1581941655,0.0056315592,0.3376353142
4194304,2,4096,0.0128285304,0.1683632323,0.1875398601,0.0056125332,0.3626060001
4194304,2,16384,0.0128493931,0.1869396279,0.2162123534,0.0055937858,0.4092919815
4194304,2,65536,0.0128200301,0.2080492791,0.2449528208,0.0055853556,0.4596230470
4194304,4,16,0.0065148370,0.2326586655,0.0349526496,0.0055365105,0.2855626310
4194304,4,64,0.0064682177,0.1032270348,0.0496412684,0.0033051376,0.1600657649
4194304,4,256,0.0065101051,0.1951347993,0.0648280095,0.0029790043,0.2648060417
